Sample,Noise_Reduction_dB
Sample_096,9.319623918297507
Sample_097,12.433035697037091
Sample_098,14.29915956659531
Sample_099,13.528835640785807
Sample_100,10.789277943150854
Sample_101,9.514769934382262
Sample_102,10.00477329104115
Sample_103,9.146937240753513
Sample_104,8.276030796680343
Sample_105,12.425028258047025
Sample_106,1.6708106334765669
Sample_107,11.863932253496365
Sample_108,8.772844263774068
Sample_109,14.668887266342288
Sample_110,13.994999988517629
Sample_111,11.254972434849794
Sample_112,15.396066605230354
Sample_113,19.20800582454383
Sample_114,15.618150207094013
Sample_115,14.580055180384656
Sample_116,15.30492236157013
Sample_117,18.959209922504037
Sample_118,10.52691607608531
Sample_119,12.569630585010199
Sample_120,10.59136319938737
Sample_121,14.69551115796329
Sample_122,16.62646582547193
Sample_123,18.152541407460667
Sample_124,11.585874323608763
Sample_125,10.295271422659496
Sample_126,7.908010388303185
Sample_127,4.095924794484337
Sample_128,5.618541422093632
Sample_129,11.2991331355763
Sample_130,8.92319360818885
Sample_131,12.976789764887751
Sample_132,7.2715585109560985
Sample_133,13.926427017610994
Sample_134,12.82983371803365
Sample_135,10.085467520597858
Sample_136,10.3716321525072
Sample_137,15.353868436090606
Sample_138,14.263216015574345
Sample_139,13.328217222468243
Sample_140,12.446572082867434
Sample_141,4.996278861252603
Sample_142,0.7155101368380399
Sample_143,6.532646056773125
Sample_144,9.028164362428615
Sample_145,13.179643325802509
Sample_146,13.971500592601284
Sample_147,10.523877801132784
Sample_148,1.6974040715965764
Sample_149,10.754689120375094
Sample_150,8.782630200863416
Sample_151,8.842853015372675
Sample_152,9.818342588576352
Sample_153,6.930873956114927
Sample_154,9.047236099059155
Sample_155,11.771460419289943
Sample_156,11.008585706327407
Sample_157,17.465981765755817
Sample_158,11.603848547905859
Sample_159,14.726495673840487
Sample_160,14.280466996088672
Sample_161,15.633498423597555
Sample_162,20.30454940372487
Sample_163,12.889548959444014
Sample_164,17.53704601695193
Sample_165,20.485958941768953
Sample_166,14.33630663694655
Sample_167,8.269398146664916
Sample_168,13.487897608073796
Sample_169,15.849399906114762
Sample_170,14.029332633238042
Sample_171,16.405153706367255
Sample_172,14.104383734335695
Sample_173,8.803662297993768
Sample_174,13.523335599490139
Sample_175,13.921134312482648
Sample_176,13.853000057008579
Sample_177,12.024490698854201
Sample_178,14.272092871934468
Sample_179,14.443732574866948
Sample_180,15.112539465161941
Sample_181,17.273550055010872
Sample_182,12.087994391164171
Sample_183,12.61904802638144
Sample_184,7.6688710747791875
Sample_185,13.775836590648078
Sample_186,11.054531225511546
Sample_187,11.286214081929337
Sample_188,10.404705651618439
Sample_189,13.545350439109654
Sample_190,14.098928791377183
Sample_191,8.052821780941459
Sample_192,8.433322766368537
Sample_193,10.65482812120727
Sample_194,6.450189736965852
Sample_195,11.109138723408826
Sample_196,11.143945646479477
Sample_197,13.039221925566407
Sample_198,12.476283606363687
Sample_199,10.725457209931406
Sample_200,11.209139030597795
Sample_201,12.91849046184173
Sample_202,12.300360503901388
Sample_203,10.845427452028515
Sample_204,13.18057928880748
Sample_205,12.849467998187887
Sample_206,3.925288065311516
